User ID,Gender,Age,Country,Device Type,App Version,Sessions Per Day,Avg Session Duration Min,Screens Viewed,Push Notifications Clicked,In App Purchases,Subscription Status,Churn Risk Score,Last Login Date,User Rating
User_1208,Male,43,Canada,iOS,2,8,22.22,32,5,2,Free,0.73,2/14/2023,4.1
User_1102,Female,40,India,Android,2.1,9,45.2,39,7,2,Trial,0.62,9/2/2024,2.5
User_2594,Female,29,India,Android,1.1,14,37.68,20,0,1,Trial,0.01,9/12/2024,2.1
User_1092,Female,27,Canada,Android,1.2,6,42.25,16,8,4,Premium,0.61,7/12/2023,2.6
User_2735,Other,14,Brazil,Android,2.1,6,39.01,11,8,2,Free,0.51,2/27/2023,3.8
User_1854,Male,31,Australia,Android,1.2,1,50.92,33,1,2,Trial,0.27,7/27/2024,3.4
User_1545,Other,42,Canada,iOS,2,3,34.42,28,4,1,Premium,0.99,9/15/2023,4.4
User_1996,Other,22,USA,iOS,1.1,14,12.12,13,6,0,Premium,0.25,2/16/2025,1.1
User_2089,Other,48,Brazil,Android,2,5,53.17,19,1,1,Premium,0.93,4/7/2025,2.1
User_2463,Male,52,Canada,iOS,2,14,57.7,15,2,4,Trial,0.64,2/5/2024,3.6
User_1662,Other,16,Australia,iOS,1.2,6,14.69,7,9,4,Trial,0.02,1/18/2023,3.8
User_1996,Other,17,Canada,Android,1.1,10,59.61,42,8,3,Free,0.42,2/2/2024,1.6
User_1270,Male,28,India,iOS,1.1,7,35.22,42,7,2,Free,0.7,10/16/2024,3.2
User_1672,Other,32,Germany,Android,2.1,10,30.64,48,6,0,Premium,0.12,9/22/2023,2.3
User_1035,Female,55,Canada,Android,1.2,6,8.73,39,6,2,Trial,0.76,2/27/2023,1.1
User_1174,Male,61,Canada,iOS,1,5,35.86,43,6,0,Trial,0.81,4/3/2025,3.3
User_1936,Female,29,Australia,Android,1,8,8.9,8,4,0,Free,0.66,3/24/2023,3.2
User_1169,Male,20,Canada,iOS,2.1,1,21.87,12,8,0,Trial,0.06,8/17/2024,4.6
User_2075,Other,13,India,iOS,1.1,9,54.09,17,5,4,Trial,0.56,7/23/2024,2.6
User_2127,Male,21,UK,iOS,1.1,3,4.79,35,1,1,Trial,0.37,2/10/2023,2.9
User_1413,Male,52,USA,iOS,1.2,1,36.84,25,6,1,Trial,0.24,8/27/2023,2.8
User_1626,Male,64,Brazil,iOS,2,11,19.14,41,0,2,Premium,0.7,11/5/2024,2.2
User_1564,Female,19,Brazil,iOS,1,10,27.54,34,7,0,Premium,0.12,6/29/2023,1.3
User_1628,Other,33,Australia,Android,1.1,4,25.77,8,6,2,Free,0.97,3/25/2023,2.7
User_1953,Other,37,Germany,iOS,2,5,38.69,37,8,3,Free,0.36,1/21/2023,2.1
User_1007,Female,28,UK,iOS,1.2,12,48.41,43,0,0,Premium,0.24,1/30/2023,4
User_1671,Other,18,Australia,Android,1.1,11,25.36,39,0,2,Free,0.81,3/11/2025,3.3
User_2216,Female,47,India,iOS,1.1,13,39.83,27,6,1,Trial,0.9,7/10/2024,4.8
User_1798,Female,51,USA,Android,2.1,1,47.49,26,8,1,Trial,0.52,1/22/2024,1.5
User_2792,Male,53,Australia,Android,2.1,6,6.13,30,4,1,Premium,0.14,6/30/2023,1.6
User_2588,Female,50,USA,iOS,2,13,22.28,28,9,1,Free,0.72,2/19/2023,3.9
User_2286,Male,56,India,iOS,2,3,11.72,35,4,3,Free,0.44,2/14/2023,1.1
User_1345,Other,38,Australia,Android,1.1,6,44.54,15,2,1,Trial,0.67,4/15/2024,3.5
User_2203,Other,28,UK,iOS,1.1,12,44.24,16,5,3,Free,0.04,11/1/2023,1.6
User_1366,Male,14,India,Android,1,8,12.36,23,1,3,Premium,0.22,5/26/2024,1.7
User_1812,Other,44,India,Android,1.1,6,22.26,28,0,4,Trial,0.95,9/19/2024,1
User_2298,Other,16,India,Android,2.1,5,37.19,8,9,4,Trial,0.99,7/11/2023,4.6
User_1130,Other,58,Australia,Android,2.1,14,54.94,11,6,3,Free,0.65,11/28/2023,2.4
User_2070,Other,53,Australia,iOS,1.1,12,5.74,23,0,2,Trial,0.74,3/15/2025,3.4
User_1442,Male,16,Canada,Android,2,9,42.44,39,8,2,Trial,0.8,12/19/2024,4.6
